40,Indian Institute of Management Raipur,Raipur,Chhattisgarh,"Indian Institutes of Management Act 2028",Ministry of Education
41,Indian Institute of Management Ranchi,Ranchi,Jharkhand,"Indian Institutes of Management Act 2029",Ministry of Education
42,Indian Institute of Management Rohtak,Rohtak,Haryana,"Indian Institutes of Management Act 2030",Ministry of Education
43,Indian Institute of Management Sambalpur,Sambalpur,Odisha,"Indian Institutes of Management Act 2031",Ministry of Education
44,Indian Institute of Management Shillong,Shillong,Meghalaya,"Indian Institutes of Management Act 2032",Ministry of Education
45,Indian Institute of Management Sirmaur,Paonta Sahib,Himachal Pradesh,"Indian Institutes of Management Act 2033",Ministry of Education
46,Indian Institute of Management Tiruchirappalli,Tiruchirappalli,Tamil Nadu,"Indian Institutes of Management Act 2034",Ministry of Education
47,Indian Institute of Management Udaipur,Udaipur,Rajasthan,"Indian Institutes of Management Act 2035",Ministry of Education
48,Indian Institute of Management Visakhapatnam,Visakhapatnam,Andhra Pradesh,"Indian Institutes of Management Act 2036",Ministry of Education
49,"Indian Institute of Science Education and Research, Berhampur",Berhampur,Odisha,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
50,"Indian Institute of Science Education and Research, Bhopal",Bhopal,Madhya Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
51,"Indian Institute of Science Education and Research, Kolkata",Kolkata,West Bengal,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
52,"Indian Institute of Science Education and Research, Mohali",Mohali,Punjab,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
53,"Indian Institute of Science Education and Research, Pune",Pune,Maharashtra,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
54,"Indian Institute of Science Education and Research,Thiruvananthapuram",Thiruvananthapuram,Kerala,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
55,"Indian Institute of Science Education and Research, Tirupati",Tirupati,Andhra Pradesh,"National Institutes of Technology, Science Education and Research Act 2007 and its subsequent amendments",Ministry of Education
